,PLAYER_ID,PLAYER_NAME,NICKNAME,TEAM_ID,TEAM_ABBREVIATION,AGE,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK
0,1630639,A.J. Lawson,A.J.,1610612742,DAL,23.0,42,27,15,0.643,310.9,8.3,18.7,0.446,2.0,7.7,0.26,2.3,3.6,0.652,2.2,5.6,7.7,3.1,2.2,1.5,0.5,1.2,3.4,2.0,21.0,2.8,38.8,0,0,37.8,341,231,390,105,410,182,160,303,305,219,428,289,256,445,238,304,286,370,303,233,411,168,371,409,216,180,340,257,38,329
1,1631260,AJ Green,AJ,1610612749,MIL,24.0,56,35,21,0.625,614.2816666666666,6.5,15.3,0.423,5.4,13.2,0.408,1.3,1.5,0.895,0.7,4.3,5.0,2.3,0.9,0.7,0.3,0.2,3.8,1.6,19.7,3.9,31.3,0,0,34.5,252,155,312,128,333,341,293,393,15,22,72,422,470,54,492,446,480,473,527,512,468,510,285,465,255,143,485,257,38,403
2,1631100,AJ Griffin,AJ,1610612737,ATL,20.0,20,8,12,0.4,170.73,5.1,17.4,0.29,2.8,11.0,0.256,0.6,0.6,1.0,0.6,4.5,5.1,1.4,2.2,0.3,0.6,0.8,1.7,0.3,13.5,-14.3,22.0,0,0,24.5,439,423,422,385,445,468,207,541,198,72,429,508,525,1,520,425,474,543,283,538,365,320,543,546,470,524,551,257,38,541
3,203932,Aaron Gordon,Aaron,1610612743,DEN,28.0,73,49,24,0.671,2296.81,8.3,15.0,0.556,0.8,2.9,0.29,3.7,5.6,0.658,3.6,6.2,9.8,5.4,2.2,1.2,0.9,1.2,3.0,4.7,21.2,8.8,45.2,12,0,41.5,99,29,263,75,55,185,313,77,436,457,399,152,109,440,127,250,181,180,293,380,238,187,439,106,210,56,209,54,38,242
4,1628988,Aaron Holiday,Aaron,1610612745,HOU,27.0,78,39,39,0.5,1269.2966666666666,7.0,15.8,0.446,3.2,8.2,0.387,2.2,2.4,0.921,0.9,3.8,4.7,5.3,2.0,1.6,0.2,0.8,4.7,2.5,19.4,3.2,36.4,0,0,36.2,43,117,73,300,217,278,270,305,150,194,129,300,369,37,456,493,509,188,337,214,491,351,162,347,264,165,396,257,38,374
5,1630174,Aaron Nesmith,Aaron,1610612754,IND,24.0,72,41,31,0.569,1994.655,7.6,15.3,0.496,3.4,8.0,0.419,2.6,3.3,0.781,1.5,5.1,6.6,2.6,1.5,1.6,1.2,1.2,5.8,3.5,21.1,3.9,39.6,1,0,39.2,108,97,149,227,105,232,294,158,128,204,44,266,278,256,325,358,359,431,444,225,181,174,73,214,213,145,325,190,38,297
6,1630598,Aaron Wiggins,Aaron,1610612760,OKC,25.0,78,55,23,0.705,1227.9383333333333,8.3,14.7,0.562,2.4,4.9,0.492,2.2,2.8,0.789,2.3,4.9,7.3,3.4,2.2,2.2,0.7,1.3,3.6,2.3,21.2,3.7,41.6,0,0,40.1,43,14,292,50,224,189,323,71,251,392,15,302,326,241,212,379,315,343,295,83,305,152,338,364,209,148,296,257,38,278
7,1641745,Adam Flagler,Adam,1610612760,OKC,24.0,2,2,0,1.0,14.016666666666667,3.4,24.0,0.143,3.4,20.5,0.167,0.0,0.0,0.0,0.0,0.0,0.0,13.7,0.0,0.0,0.0,0.0,0.0,0.0,10.3,0.0,30.8,0,0,27.4,555,511,560,1,554,542,48,558,124,1,473,531,538,531,545,557,561,5,550,539,520,525,556,547,529,254,496,257,38,524
8,1641766,Adama Sanogo,Adama,1610612741,CHI,22.0,9,3,6,0.333,65.76166666666667,10.2,19.7,0.519,0.0,0.0,0.0,5.8,8.8,0.667,13.9,12.4,26.3,0.0,3.6,0.7,0.0,1.5,3.6,5.1,26.3,24.8,56.3,1,0,54.0,498,489,481,432,502,86,139,114,498,541,498,47,33,424,4,20,3,553,74,504,520,110,321,86,102,11,65,190,38,57
9,1629678,Admiral Schofield,Admiral,1610612753,ORL,27.0,23,15,8,0.652,84.35833333333333,5.7,14.8,0.385,3.4,9.1,0.375,0.0,1.1,0.0,1.7,8.0,9.7,4.0,2.8,0.6,0.0,1.7,5.1,1.7,14.8,-7.4,31.2,0,0,33.0,420,347,456,98,485,415,317,475,126,144,168,531,496,531,289,141,187,292,159,528,520,65,124,449,431,412,486,257,38,439
